"ID","info","inCore","count","MK-ID"
"Strous M, 2006, NATURE","Strous M, 2006, NATURE, V440, P790",False,1,"None"
"Subbarao Gv, 2009, BREEDING SCI","Subbarao Gv, 2009, BREEDING SCI, V59, P529",False,1,"None"
"Summers Dp, 2007, ASTROBIOLOGY","Summers Dp, 2007, ASTROBIOLOGY, V7, P333",False,1,"None"
"Summers Dp, 1993, NATURE","Summers Dp, 1993, NATURE, V365, P630",False,1,"None"
"Tester M, 2010, SCIENCE","Tester M, 2010, SCIENCE, V327, P818",False,1,"None"
"Thamdrup Bo, 2008, MICROBIAL ECOLOGY OC","Thamdrup Bo, 2008, MICROBIAL ECOLOGY OC, P527",False,1,"None"
"Trenberth Ke, 1994, J GEOPHYS RES-ATMOS","Trenberth Ke, 1994, J GEOPHYS RES-ATMOS, V99, P23079",False,1,"None"
"Vitousek Pm, 1997, SCIENCE","Vitousek Pm, 1997, SCIENCE, V277, P494",False,1,"None"
"Yokochi R, 2009, GEOCHIM COSMOCHIM AC","Yokochi R, 2009, GEOCHIM COSMOCHIM AC, V73, P4843",False,1,"None"
"Brady N C, 1990, NATURE PROPERTIES SO","Brady N C, 1990, NATURE PROPERTIES SO",False,1,"None"
"Lewis Wm, 1981, P WORLD S AQ HEAT EF","Lewis Wm, 1981, P WORLD S AQ HEAT EF, V1, P121",False,1,"None"
"Lorenz Oa, 1980, KNOTTS HDB VEGETABLE","Lorenz Oa, 1980, KNOTTS HDB VEGETABLE",False,1,"None"
"Mcmurtry M R, 1997, JOURNAL OF APPLIED AQUACULTURE","Mcmurtry M R, 1997, JOURNAL OF APPLIED AQUACULTURE, V7, P33",False,4,"None"
"Mcmurtry Mr, 1993, J PROD AGRIC","Mcmurtry Mr, 1993, J PROD AGRIC, V6, P428",False,3,"None"
"Mickey S, 1989, ANN M NC GREENH VEG","Mickey S, 1989, ANN M NC GREENH VEG",False,1,"None"
"*Min Ar Rep Eg Us, 1982, STRAT ACC AGR DEV RE","*Min Ar Rep Eg Us, 1982, STRAT ACC AGR DEV RE",False,1,"None"
"Nair A, 1985, P 2 INT C WARM WAT A","Nair A, 1985, P 2 INT C WARM WAT A, P223",False,2,"None"
"Paller M H, 1982, AQUACULTURAL ENGINEERING","Paller M H, 1982, AQUACULTURAL ENGINEERING, V1, P139",False,1,"None"
"Phillips Mj, 1991, AQUACULTURE WATER QU","Phillips Mj, 1991, AQUACULTURE WATER QU, P568",False,1,"None"
"Rakocy Je, 1989, WORLD AQUAC","Rakocy Je, 1989, WORLD AQUAC, V20, P42",False,2,"None"
"Rakocy J E, 1993, P AQ ENG C 21 23 JUN","Rakocy J E, 1993, P AQ ENG C 21 23 JUN",False,1,"None"
"Rakocy Je, 1993, ASAE PUBL","Rakocy Je, 1993, ASAE PUBL, V93, P148",False,16,"None"
"Sanders Dc, 1989, J AM SOC HORTIC SCI","Sanders Dc, 1989, J AM SOC HORTIC SCI, V114, P904",False,1,"None"
"*Usda, 1975, USDA HDB","*Usda, 1975, USDA HDB, V8",False,1,"None"
"Winsor Gw, 1985, GROWERS B","Winsor Gw, 1985, GROWERS B, V5",False,1,"None"
"Bach Ac, 1982, AM J CLIN NUTR","Bach Ac, 1982, AM J CLIN NUTR, V36, P950",False,1,"None"
"Bradford Mm, 1976, ANAL BIOCHEM","Bradford Mm, 1976, ANAL BIOCHEM, V72, P248",False,2,"None"
"Camargo Ja, 2006, ENVIRON INT","Camargo Ja, 2006, ENVIRON INT, V32, P831",False,1,"None"
"Chaplin Ae, 1967, COMP BIOCHEM PHYSIOL","Chaplin Ae, 1967, COMP BIOCHEM PHYSIOL, V20, P195",False,1,"None"
"Cheng Sy, 1999, AQUAT TOXICOL","Cheng Sy, 1999, AQUAT TOXICOL, V45, P35",False,1,"None"
"Das Pc, 2004, COMP BIOCHEM PHYS C","Das Pc, 2004, COMP BIOCHEM PHYS C, V138, P3",False,1,"None"
"Diamantino Tc, 2001, CHEMOSPHERE","Diamantino Tc, 2001, CHEMOSPHERE, V45, P553",False,1,"None"
"Eddy Fb, 1987, CHEM ECOL","Eddy Fb, 1987, CHEM ECOL, V3, P1",False,1,"None"
"Hall Mr, 1998, J WORLD AQUACULT SOC","Hall Mr, 1998, J WORLD AQUACULT SOC, V29, P290",False,1,"None"
"Heckman Cw, 1997, B ENVIRON CONTAM TOX","Heckman Cw, 1997, B ENVIRON CONTAM TOX, V58, P8",False,1,"None"
"Hegazi Mm, 2010, AQUACULTURE","Hegazi Mm, 2010, AQUACULTURE, V299, P149",False,1,"None"
"Hong Ml, 2009, COMP BIOCHEM PHYS C","Hong Ml, 2009, COMP BIOCHEM PHYS C, V149, P419",False,1,"None"
"Jackson C, 2003, AQUACULTURE","Jackson C, 2003, AQUACULTURE, V218, P397",False,1,"None"
"Lewis Wm, 1986, T AM FISH SOC","Lewis Wm, 1986, T AM FISH SOC, V115, P183",False,2,"None"
"Lorenzon S, 2008, AQUACULTURE","Lorenzon S, 2008, AQUACULTURE, V278, P156",False,1,"None"
"Mashiko K, 1990, J CRUSTACEAN BIOL","Mashiko K, 1990, J CRUSTACEAN BIOL, V10, P306",False,1,"None"
"Mcewen Bs, 2003, HORM BEHAV","Mcewen Bs, 2003, HORM BEHAV, V43, P2",False,1,"None"
"Mercier L, 2006, AQUACULTURE","Mercier L, 2006, AQUACULTURE, V258, P633",False,1,"None"
